Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
13125,4504,0,6146,538,2168
13150,4504,0,6152,540,2168
13175,4504,0,6161,540,2168
13200,4504,0,6170,540,2168
13225,4504,0,6175,544,2168
13250,4504,0,6182,544,2168
13275,4504,0,6189,544,2168
13300,4504,0,6200,546,2168
13325,4504,0,6208,546,2168
13350,4504,0,6212,546,2168
13375,4504,0,6219,550,2168
13400,4504,0,6227,550,2168
13425,4504,0,6230,550,2168
13450,4504,0,6236,552,2168
13475,4504,0,6243,552,2168
13500,4504,0,6248,552,2168
13525,4504,0,6253,562,2168
13550,4504,0,6257,562,2168
13575,4504,0,6265,562,2168
13600,4504,0,6270,564,2168
13625,4504,0,6278,564,2168
13650,4504,0,6283,564,2168
13675,4504,0,6289,578,2168
13700,4504,0,6295,578,2168
13725,4504,0,6301,578,2168
13750,4504,0,6306,582,2168
13775,4504,0,6313,582,2168
13800,4504,0,6323,582,2244
13825,4504,0,6331,588,2244
13850,4504,0,6340,588,2244
13875,4504,0,6344,588,2244
13900,4504,0,6346,590,2244
13925,4504,0,6352,590,2244
13950,4504,0,6354,590,2244
13975,4504,0,6360,596,2244
14000,4504,0,6368,596,2244
14025,4504,0,6375,596,2244
14050,4504,0,6381,608,2244
14075,4504,0,6384,608,2244
14100,4504,0,6388,608,2244
14125,4504,0,6395,612,2244
14150,4504,0,6405,612,2244
14175,4504,0,6411,612,2244
14200,4504,0,6420,614,2244
14225,4504,0,6424,614,2244
14250,4504,0,6429,614,2244
14275,4504,0,6434,618,2244
14300,4504,0,6438,618,2244
14325,4504,0,6446,618,2244
14350,4504,0,6451,620,2244
14375,4504,0,6457,620,2244
14400,4504,0,6466,620,2244
14425,4504,0,6472,624,2244
14450,4504,0,6478,624,2244
14475,4504,0,6488,624,2244
14500,4504,0,6492,626,2244
14525,4504,0,6494,626,2244
14550,4654,0,6498,626,2244
14575,4654,0,6505,636,2244
14600,4654,0,6512,636,2244
14625,4654,0,6515,636,2244
14650,4654,0,6520,642,2244
14675,4654,0,6525,642,2244
14700,4654,0,6531,642,2320
14725,4654,0,6534,646,2320
14750,4654,0,6543,646,2320
14775,4654,0,6548,646,2320
14800,4654,0,6554,650,2320
14825,4654,0,6561,650,2320
14850,4654,0,6570,650,2320
14875,4654,0,6577,652,2320
14900,4654,0,6579,652,2320
14925,4654,0,6583,652,2320
14950,4654,0,6589,654,2320
14975,4654,0,6592,654,2320
15000,4654,0,6601,654,2320
15025,4654,0,6606,656,2320
15050,4654,0,6612,656,2320
15075,4654,0,6619,656,2320
15100,4654,0,6624,674,2320
15125,4654,0,6630,674,2320
15150,4654,0,6634,674,2320
15175,4654,0,6637,676,2320
15200,4654,0,6646,676,2320
15225,4654,0,6656,676,2320
15250,4654,0,6662,690,2320
15275,4654,0,6667,690,2320
15300,4654,0,6671,690,2320
15325,4654,0,6673,696,2320
15350,4654,0,6678,696,2320
15375,4654,0,6686,696,2320
15400,4654,0,6695,702,2320
15425,4654,0,6700,702,2320
15450,4654,0,6706,702,2320
15475,4654,0,6712,704,2320
15500,4654,0,6720,704,2320
15525,4654,0,6726,704,2320
15550,4654,0,6730,706,2396
15575,4654,0,6734,706,2396
15600,4654,0,6739,706,2396
15625,4654,0,6746,710,2396
15650,4654,0,6752,710,2396
15675,4654,0,6759,710,2396
15700,4654,0,6763,712,2396
15725,4654,0,6768,712,2396
15750,4654,0,6776,712,2396
15775,4654,0,6781,716,2396
15800,4654,0,6786,716,2396
15825,4654,0,6793,716,2396
15850,4654,0,6801,718,2396
15875,4654,0,6807,718,2396
15900,4654,0,6810,718,2396
15925,4654,0,6813,720,2396
15950,4654,0,6821,720,2396
15975,4654,0,6826,720,2396
16000,4654,0,6836,722,2396
16025,4654,0,6841,722,2396
16050,4654,0,6848,722,2396
16075,4654,0,6852,730,2396
16100,4654,0,6856,730,2396
16125,4654,0,6861,730,2396
16150,4654,0,6865,734,2396
16175,4804,0,6871,734,2396
16200,4804,0,6875,734,2396
16225,4804,0,6881,736,2396
16250,4804,0,6887,736,2396
16275,4804,0,6892,736,2396
16300,4804,0,6895,740,2396
16325,4804,0,6902,740,2472
16350,4804,0,6908,740,2472
16375,4804,0,6914,746,2472
16400,4804,0,6915,746,2472
16425,4804,0,6915,746,2472
16450,4804,0,6916,750,2472
16475,4804,0,6917,750,2472
16500,4804,0,6922,750,2472
16525,4804,0,6927,754,2472
16550,4804,0,6930,754,2472
16575,4804,0,6937,754,2472
16600,4804,0,6942,758,2472
16625,4804,0,6948,758,2472
16650,4804,0,6950,758,2472
16675,4804,0,6952,766,2472
16700,4804,0,6958,766,2472
16725,4804,0,6962,766,2472
16750,4804,0,6970,768,2472
16775,4804,0,6972,768,2472
16800,4804,0,6977,768,2472
16825,4804,0,6982,776,2472
16850,4804,0,6985,776,2472
16875,4804,0,6994,776,2472
16900,4804,0,7001,778,2472
16925,4804,0,7007,778,2472
16950,4804,0,7015,778,2472
16975,4804,0,7023,782,2472
17000,4804,0,7026,782,2472
17025,4804,0,7028,782,2472
