Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
16200,5373,4581,2932,3901,682
16225,5377,4589,2938,3910,683
16250,5385,4602,2948,3920,685
16275,5392,4607,2954,3929,685
16300,5396,4617,2959,3940,685
16325,5404,4628,2967,3951,685
16350,5407,4635,2971,3957,688
16375,5412,4645,2976,3964,689
16400,5416,4651,2979,3970,689
16425,5421,4655,2982,3976,689
16450,5426,4662,2988,3983,689
16475,5430,4671,2995,3992,690
16500,5434,4680,3001,3995,690
16525,5442,4692,3008,4003,691
16550,5444,4696,3012,4008,691
16575,5450,4707,3019,4016,691
16600,5454,4718,3026,4027,692
16625,5459,4728,3034,4035,694
16650,5462,4734,3039,4043,694
16675,5467,4747,3049,4055,694
16700,5473,4760,3056,4066,695
16725,5480,4768,3063,4073,695
16750,5481,4773,3067,4076,696
16775,5488,4787,3078,4085,698
16800,5491,4797,3083,4091,698
16825,5499,4805,3088,4100,698
16850,5503,4815,3092,4108,698
16875,5508,4822,3097,4113,699
16900,5516,4831,3107,4119,699
16925,5523,4841,3115,4126,699
16950,5527,4848,3117,4132,701
16975,5533,4857,3121,4141,702
17000,5541,4862,3124,4146,703
17025,5550,4873,3129,4154,703
17050,5553,4879,3133,4162,704
17075,5556,4884,3138,4169,706
17100,5561,4893,3148,4180,707
17125,5564,4902,3156,4185,707
17150,5569,4913,3168,4195,708
17175,5570,4920,3173,4202,710
17200,5573,4927,3180,4209,711
17225,5577,4936,3186,4218,714
17250,5586,4947,3194,4226,714
17275,5589,4954,3198,4232,714
17300,5594,4962,3205,4239,715
17325,5601,4973,3214,4248,715
17350,5609,4989,3223,4258,716
17375,5612,4996,3227,4266,716
17400,5617,5001,3232,4271,717
17425,5623,5010,3240,4276,717
17450,5627,5017,3244,4283,718
17475,5632,5023,3246,4292,719
17500,5634,5032,3255,4303,720
17525,5639,5039,3263,4309,720
17550,5643,5046,3267,4318,720
17575,5647,5052,3270,4324,721
17600,5654,5057,3275,4328,722
17625,5661,5068,3281,4339,723
17650,5669,5077,3285,4346,725
17675,5672,5083,3291,4355,726
17700,5675,5092,3296,4365,726
17725,5678,5099,3299,4369,726
17750,5682,5109,3304,4376,728
17775,5686,5119,3311,4383,732
17800,5697,5130,3318,4393,733
17825,5701,5139,3323,4400,733
17850,5706,5146,3328,4402,734
17875,5712,5156,3333,4412,736
17900,5717,5166,3339,4419,737
17925,5722,5172,3344,4424,737
17950,5728,5179,3346,4430,737
17975,5733,5191,3352,4439,737
18000,5735,5196,3357,4442,738
18025,5743,5202,3360,4451,740
18050,5748,5211,3364,4457,740
18075,5756,5221,3371,4466,741
18100,5763,5232,3381,4474,741
18125,5768,5237,3385,4479,741
18150,5771,5246,3391,4486,741
18175,5775,5256,3400,4496,742
18200,5776,5262,3404,4504,743
18225,5779,5268,3412,4510,743
18250,5782,5275,3418,4517,746
18275,5784,5285,3423,4529,747
18300,5788,5296,3427,4540,749
18325,5795,5305,3433,4549,750
18350,5801,5313,3435,4558,750
18375,5806,5319,3441,4565,751
18400,5812,5323,3444,4572,751
18425,5817,5330,3449,4578,751
18450,5821,5336,3455,4584,754
18475,5826,5343,3458,4589,755
18500,5832,5350,3462,4596,756
