Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
17525,5639,5039,3263,4548,5998,711
17550,5643,5046,3267,4554,6005,712
17575,5647,5052,3270,4560,6011,712
17600,5654,5057,3275,4566,6017,713
17625,5661,5068,3281,4577,6028,715
17650,5669,5077,3285,4584,6039,718
17675,5672,5083,3291,4589,6046,719
17700,5675,5092,3296,4597,6059,719
17725,5678,5099,3299,4606,6066,719
17750,5682,5109,3304,4613,6074,719
17775,5686,5119,3311,4620,6087,719
17800,5697,5130,3318,4631,6098,719
17825,5701,5139,3323,4638,6106,721
17850,5706,5146,3328,4645,6114,722
17875,5712,5156,3333,4655,6124,723
17900,5717,5166,3339,4664,6132,724
17925,5722,5172,3344,4670,6137,724
17950,5728,5179,3346,4677,6145,724
17975,5733,5191,3352,4687,6156,725
18000,5735,5196,3357,4691,6160,728
18025,5743,5202,3360,4697,6169,728
18050,5748,5211,3364,4701,6178,728
18075,5756,5221,3371,4708,6189,729
18100,5763,5232,3381,4721,6205,729
18125,5768,5237,3385,4728,6208,730
18150,5771,5246,3391,4739,6219,731
18175,5775,5256,3400,4750,6232,732
18200,5776,5262,3404,4755,6239,732
18225,5779,5268,3412,4760,6246,733
18250,5782,5275,3418,4767,6257,736
18275,5784,5285,3423,4776,6268,737
